,key,max_ADHD,max_PTSD,max_anxiety,max_bipolar,max_depression,max_mental hospital,max_psychiatrists near me,max_psychologist near me,max_therapist near me,mean_ADHD,mean_PTSD,mean_anxiety,mean_bipolar,mean_depression,mean_mental hospital,mean_psychiatrists near me,mean_psychologist near me,mean_therapist near me,median_ADHD,median_PTSD,median_anxiety,median_bipolar,median_depression,median_mental hospital,median_psychiatrists near me,median_psychologist near me,median_therapist near me,min_ADHD,min_PTSD,min_anxiety,min_bipolar,min_depression,min_mental hospital,min_psychiatrists near me,min_psychologist near me,min_therapist near me
595,US-WV_2020,30.0,16.0,86.0,23.0,75.0,48.0,0.0,26.0,71.0,23.333333333333332,13.75,77.08333333333333,19.833333333333332,64.5,41.0,0.0,3.8333333333333335,54.416666666666664,23.5,14.0,76.5,20.0,65.0,43.0,0.0,0.0,59.5,18.0,11.0,71.0,17.0,50.0,28.0,0.0,0.0,31.0
596,US-WV_2021,42.0,16.0,97.0,23.0,73.0,69.0,0.0,39.0,100.0,34.666666666666664,13.916666666666666,83.16666666666667,20.5,63.166666666666664,50.916666666666664,0.0,11.333333333333334,76.33333333333333,34.5,14.5,83.0,21.0,63.0,51.0,0.0,0.0,76.0,25.0,11.0,78.0,17.0,51.0,26.0,0.0,0.0,56.0
597,US-WV_2022,49.0,19.0,100.0,30.0,75.0,79.0,0.0,25.0,82.0,42.75,15.666666666666666,89.25,24.5,63.166666666666664,57.75,0.0,4.0,65.33333333333333,42.0,16.0,89.0,24.0,62.5,55.5,0.0,0.0,67.5,36.0,13.0,81.0,20.0,52.0,39.0,0.0,0.0,43.0
598,US-WV_2023,57.0,19.0,99.0,27.0,69.0,81.0,0.0,23.0,80.0,50.5,15.833333333333334,88.25,23.0,57.25,62.666666666666664,0.0,1.9166666666666667,64.66666666666667,52.0,16.0,88.5,23.0,57.5,65.0,0.0,0.0,67.0,44.0,12.0,76.0,20.0,46.0,49.0,0.0,0.0,48.0
599,US-WV_2024,58.0,17.0,89.0,25.0,64.0,66.0,0.0,24.0,59.0,51.45454545454545,14.454545454545455,81.0909090909091,22.454545454545453,51.81818181818182,52.09090909090909,0.0,2.3636363636363638,53.09090909090909,52.0,14.0,81.0,22.0,50.0,50.0,0.0,0.0,56.0,44.0,12.0,74.0,20.0,43.0,43.0,0.0,0.0,42.0
600,US-WY_2013,27.0,13.0,50.0,26.0,85.0,0.0,0.0,0.0,0.0,17.166666666666668,3.0833333333333335,43.166666666666664,19.416666666666668,63.0,0.0,0.0,0.0,0.0,15.5,0.0,43.5,19.5,66.0,0.0,0.0,0.0,0.0,11.0,0.0,30.0,12.0,36.0,0.0,0.0,0.0,0.0
601,US-WY_2014,25.0,13.0,58.0,31.0,82.0,0.0,0.0,0.0,0.0,19.166666666666668,7.5,50.0,20.25,68.16666666666667,0.0,0.0,0.0,0.0,20.0,10.5,52.0,19.5,70.5,0.0,0.0,0.0,0.0,12.0,0.0,39.0,16.0,47.0,0.0,0.0,0.0,0.0
602,US-WY_2015,24.0,19.0,59.0,33.0,100.0,0.0,0.0,0.0,0.0,19.25,12.083333333333334,52.916666666666664,21.25,72.91666666666667,0.0,0.0,0.0,0.0,19.5,12.0,54.0,21.5,76.0,0.0,0.0,0.0,0.0,15.0,0.0,41.0,11.0,45.0,0.0,0.0,0.0,0.0
603,US-WY_2016,25.0,17.0,65.0,27.0,89.0,100.0,0.0,0.0,0.0,18.333333333333332,11.75,59.5,16.666666666666668,68.16666666666667,8.333333333333334,0.0,0.0,0.0,18.0,11.0,61.0,16.0,72.5,0.0,0.0,0.0,0.0,14.0,8.0,51.0,11.0,50.0,0.0,0.0,0.0,0.0
604,US-WY_2017,26.0,19.0,74.0,26.0,87.0,0.0,0.0,0.0,0.0,19.083333333333332,12.333333333333334,61.833333333333336,20.333333333333332,69.16666666666667,0.0,0.0,0.0,0.0,19.5,13.5,62.0,21.5,70.0,0.0,0.0,0.0,0.0,10.0,0.0,51.0,13.0,45.0,0.0,0.0,0.0,0.0
605,US-WY_2018,28.0,18.0,78.0,25.0,80.0,0.0,0.0,0.0,0.0,19.0,13.75,67.91666666666667,20.0,69.75,0.0,0.0,0.0,0.0,19.0,12.5,67.0,20.0,75.5,0.0,0.0,0.0,0.0,11.0,10.0,60.0,14.0,52.0,0.0,0.0,0.0,0.0
606,US-WY_2019,31.0,22.0,83.0,21.0,84.0,0.0,0.0,0.0,0.0,20.833333333333332,15.833333333333334,70.58333333333333,17.5,68.08333333333333,0.0,0.0,0.0,0.0,20.0,16.0,71.5,17.0,67.5,0.0,0.0,0.0,0.0,14.0,11.0,57.0,13.0,51.0,0.0,0.0,0.0,0.0
607,US-WY_2020,29.0,18.0,79.0,21.0,82.0,0.0,0.0,60.0,81.0,22.166666666666668,14.0,70.66666666666667,17.5,61.916666666666664,0.0,0.0,5.0,6.75,22.5,13.5,73.0,16.5,58.0,0.0,0.0,0.0,0.0,17.0,10.0,58.0,15.0,47.0,0.0,0.0,0.0,0.0
608,US-WY_2021,42.0,20.0,79.0,32.0,65.0,0.0,0.0,0.0,79.0,34.083333333333336,12.833333333333334,72.25,18.75,53.833333333333336,0.0,0.0,0.0,12.833333333333334,35.0,14.5,71.0,18.5,53.0,0.0,0.0,0.0,0.0,26.0,0.0,65.0,13.0,40.0,0.0,0.0,0.0,0.0
609,US-WY_2022,54.0,18.0,82.0,26.0,70.0,77.0,0.0,0.0,74.0,42.75,13.75,73.0,19.75,55.416666666666664,30.0,0.0,0.0,6.166666666666667,43.0,14.0,75.0,19.0,55.0,0.0,0.0,0.0,0.0,33.0,10.0,60.0,15.0,43.0,0.0,0.0,0.0,0.0
610,US-WY_2023,65.0,18.0,82.0,23.0,73.0,79.0,0.0,0.0,77.0,49.583333333333336,13.833333333333334,73.25,19.666666666666668,56.0,17.25,0.0,0.0,11.666666666666666,49.0,14.5,72.5,19.0,57.0,0.0,0.0,0.0,0.0,41.0,6.0,65.0,17.0,39.0,0.0,0.0,0.0,0.0
611,US-WY_2024,57.0,18.0,84.0,25.0,70.0,34.0,0.0,0.0,24.0,49.54545454545455,13.454545454545455,72.0,19.181818181818183,50.72727272727273,3.8181818181818183,0.0,0.0,2.727272727272727,49.0,13.0,68.0,17.0,52.0,0.0,0.0,0.0,0.0,42.0,10.0,58.0,15.0,34.0,0.0,0.0,0.0,0.0
